SBA FRANCHISE IDENTIFIER CODE|BRAND|MEETS FTC DEFINITION OF A FRANCHISE?|IS AN  ADDENDUM NEEDED?|SBA ADDENDUM - Form 2462|SBA NEGOTIATED ADDENDUM|SBA FRANCHISE IDENTIFIER CODE Start Date|ZXA4
S0867|Insty-Prints|Y|Y|Y|N|10/1/2017|
S6485|Insurance Lounge|Y|Y|Y|N|4/8/2021|
S3982|Insurance Specialist Network - Producer Agreement|Y|Y|Y|N|3/19/2019|
S0859|INTA JUICE|Y|Y|Y|N|10/1/2017|
S5161|INTEGRA REALTY RESOURCES/IRR/INTEGRA|Y||||4/14/2020|This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S5540|IntegriServe-Clean/IntegriServe Cleaning Systems|Y||||5/29/2020|This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
|Integrity Doctors - Standard Consulting Agreement|N|N|||4/2/2019|
S4389|Integrity from Marvin - Windows and Doors|Y|N|||7/16/2019|
S4809|Intelli-Core - Authorized Dealer Agreement|Y|Y|Y|N|1/28/2020|
S5664|Intelligent Leadership Executive Coaching|Y|Y|Y|N|7/8/2020|Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10.
S4693|Intelligent Office|Y|Y|Y|N|11/13/2019|1. When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Addendum & Collateral Assignment of Lease may not be executed.  2. Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance
S0869|Interim HealthCare|Y|Y||Y|10/1/2017|
S6077|International Canine Semen Bank|Y|Y|Y|N|11/3/2020|
|International Franchise Professionals Group, Inc.|N|N|||10/1/2017|
S2889|Intero Real Estate Services|Y|Y|Y|N|4/10/2018|
S0870|Interstate All Battery Center|Y|Y||Y|10/1/2017|
S6099|Interstate Batteries - Distributor Agreement|Y|Y|N|Y|11/18/2020|
S4444|Invincible Fitness|Y|Y|Y|N|7/30/2019|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Rider to Lease Agreement may not be executed.
S2729|InVite Health|Y|Y|Y|N|3/9/2018|Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10. 
S2744|InXpress|Y|Y|Y|N|3/9/2018|
S3112|Inyo Crude, Inc. - (Shell) Sale Agreement|Y|Y|Y|N|5/22/2018|Distributor may not file anything against the SBA Real Estate Collateral.
S4297|IPC (USA) Inc. (Sinclair) Dealer Marketing Agreement|Y|Y|Y|N|6/18/2019|Distributor may not file anything against the SBA Real Estate Collateral with the exception of a Mortgage/Deed of Trust for site improvements which must be subordinate to any SBA financing.
S2837|IPG Florida Vacation Homes |Y|Y|Y|N|4/4/2018|
|IPI Investment Professionals Inc. (Independent Contractor/Stand-Alone Registered Representative Agreement)|N|N|||2/21/2018|
S6059|IQ Car Wash|Y|Y|Y|N|10/28/2020|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Addendum and the Collateral Assignment of Lease may not be executed.
S6729|Irish 31 Pub House & Eatery|Y|Y|Y|N|7/22/2021|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, neither the Lease Rider nor the Collateral Assignment and Assumption of Lease may be used.
S4924|Irish Bred Pub|Y|Y|Y|N|3/3/2020|Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10.
S5360|Iron Age - License Agreement|Y|N|N|N|4/29/2020|
S4391|Iron Legion|Y|Y|Y|N|7/16/2019|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Rider to Lease may not be executed.
S0871|Iron Tribe Fitness|Y|Y||Y|10/1/2017|
S6622|Irving Oil Marketing, Inc - Dealer Supply Agreement|Y|Y|Y|N|5/21/2021|Distributor may not file anything against the SBA Real Estate Collateral with the exception of a Deed of Trust (SBA Approved Version) for money advanced by the Distributor for site improvements, which must be subordinate to any SBA Financing.
S2015|iShine Express Car Wash & Detail|Y|Y||Y|10/1/2017|
S4270|ISI Elite Training|Y|Y|Y|N|6/11/2019|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Collateral Assignment of Lease may not be executed.
S3523|Island Fin Poke|Y|Y|Y|N|9/17/2018|
S0860|ISLAND INK-JET SYSTEMS|Y|Y|Y|N|10/1/2017|
S0872|Island of Treats|Y|Y||Y|10/1/2017|
S3103|Island Wing Company|Y|Y|Y|N|5/15/2018|
S2016|iSold It|Y|Y|Y|N|10/1/2017|
S3425|ISU Insurance Agency Network (ISU Licensing Agreement)|Y|Y|Y|N|8/21/2018|
S5184|Isuzu - Extra Duty Vehicle Dealer Sales & Service Agreement|Y|Y|Y|N|4/14/2020|Manufacturer may not file anything against the SBA Real Estate Collateral
S0873|It's A Grind|Y|Y|Y|N|10/1/2017|
|It's a New 10, LLC - Distribution Agreement|N|N|||3/26/2019|
S2201|It's Boba Time|Y|Y|Y|N|10/1/2017|
S6064|It's Bugs or Us|Y|Y|Y|N|10/28/2020|
S2017|iTAN Sun Spray Spa|Y|Y||Y|10/1/2017|
|ITG Diet - Invetory Clinic Agreement|N|N|||9/24/2019|
S2493|iTrip Vacations|Y|Y|Y|N|1/30/2018|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Collateral Assignment & Assumption of Lease may not be executed.
S3381|IV Nutrition |Y|Y|Y|N|8/7/2018|
S2018|iVibe|Y|Y|Y|N|10/1/2017|
S0874|Ivy Kids Early Learning Center|Y|Y||Y|10/1/2017|
S2840|Ivybrook Academy|Y|Y|Y|N|4/4/2018|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Collateral Assignment of Lease document may not be executed.
S3265|Izsam|Y|Y|Y|N|7/3/2018|
S0876|J. Gumbo's|Y|Y|Y|N|10/1/2017|
|J. M. Wilson Corporation - Solicitor Agreement|N|N|||7/2/2019|
S5197|J.D. Byrider|Y||||4/17/2020|This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S4802|J.D. Street& Company (Distributors ZX) Sales Agreement|Y|Y|Y|N|1/22/2020|Distributor may not file anything against the SBA Real Estate Collateral
|J.E. Brown & Associates - Producer Agreement|N|N|||9/2/2021|
S4302|J.F. Presley Oil Company (Phillips 66) Motor Fuel Supply Agreement|Y|Y|Y|N|6/18/2019|Distributor may not file anything against the SBA Real Estate Collateral
S3555|J.H. Williams Oil Company Inc (Shell/Motiva) Seller/Reseller Contract|Y|Y|Y|N|10/1/2018|Distributor may not file anything against the SBA Real Estate Collateral
S6653|J.H. Williams Oil Company Inc. (Texaco/Chevron) Seller/Reseller Contract|Y|Y|Y|N|6/9/2021|Distributor may not file anything against the SBA Real Estate Collateral
S4154|J.J. Gouge & Sons Oil Co. Inc (ExxonMobil) Dealer Agreement|Y|Y|Y|N|4/30/2019|Distributor may not file anything against the SBA Real Estate Collateral
S4530|J.R. Crickets - License Agreement|Y|Y|Y|N|9/17/2019|
|J.R. Olsen Bonds and Insurance Brokers - Brokers and/or Agents Agreement|N|N|||11/20/2018|
S3807|J.T. Alexander & Son Inc (BP) Supply Agreement|Y|Y|Y|N|12/19/2018|Distributor may not file anything against the SBA Real Estate Collateral
S6701|J.T. Alexander & Son, Inc. (Shell) Customer Supply Agreement|Y|Y|Y|N|7/8/2021|Distributor may not file anything against the SBA Real Estate Collateral
|J.W. Cole Investment Advisory Representative Contract|N|N|||4/10/2018|
S3485|J.W. Myers, Inc. - Chevron Dealer Petroleum Products Agreement|Y|Y|Y|N|9/5/2018|Distributor may not file anything against the SBA Real Estate Collateral
S5283|Jabz Boxing Fitness for Women|Y|Y|Y|N|4/22/2020|Lender/CDC must obtain an affidavit signed by the Applicant that the business is open to both men and women and document their file with evidence that the facility is open to both men and women, such as appropriate bath/locker rooms, or documented membership demographics. Contact franchise@sba.gov for a template of the affidavit.
|Jack Daniel's - Trademark & Merchandise License Agreement|N|N|||9/8/2020|
S2365|Jack Farley's Art Supplies|Y|Y|Y|N|1/1/2018|
S0892|Jack in the Box|Y|Y||Y|10/1/2017|
S0893|Jack's Donuts|Y|Y||Y|10/1/2017|
S5871|Jack's New Yorker Deli|Y|Y|Y|N|8/19/2020|
S0894|Jackson Hewitt Tax Service|Y|Y|Y|N|10/1/2017|
|Jackson National Life Insurance - Selling Agreement|N|N|||5/11/2020|
S2529|Jacksons Food Stores, Inc ( Chevron, Texaco , 76, Mobil, Tesoro-Shell) Retail Sales Agreement|Y|Y|Y|N|1/30/2018|Distributor may not file anything against the SBA Real Estate Collateral
|Jacuzzi Bath Remodel, a d/b/a of RHT, Inc. - In-Home Sales Dealership Agreement|N|N|||11/18/2020|
S5023|Jaguar - Dealer Agreement|Y|Y|Y|N|4/3/2020|Manufacturer may not file anything against the SBA Real Estate Collateral
S0895|Jake's|Y|Y||Y|10/1/2017|
S0896|Jakes Uptown|Y|Y|Y|N|10/1/2017|
S5697|Jalisco's|Y|Y|Y|N|7/13/2020|
S0897|Jamba|Y|Y|Y|N|10/1/2017|
S0898|Jameson Inn|Y|Y||Y|10/1/2017|
S0877|JAMSPOT|Y|Y|Y|N|10/1/2017|
S6493|Jan-Pro of Upstate New York - Unit Franchise Agreement|Y||||4/9/2021|1. Only the unit franchise agreement is eligible. 2. This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S5335|Jani-King for the District Columbia & certain counties in MD & VA|Y||||4/28/2020|1.  Only the unit franchise agreement is eligible.  2. This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S5388|Jani-King Gulf Coast (Jani-King of New Orleans, Jani-King of Baton Rouge, Jani-King of Lafayette, Jani-King of South Louisiana, Jani-King of Shreveport, Jani-King of Monroe, Jani-King of Alexandria, Jani-King of Lake Charles, Jani-King of the Northshore, Jani-King of Mobile, Jani-King of Montgomery, Jani-King of Dothan, Jani-King of Pensacola, Jani-King of Tallahassee, Jani-King of Jackson, Jani-King of Southeast Mississippi, Jani-King of Mississippi Coast, Jani-King of Greenville, Jani-King of Starkville, Jani-King of Southwest Mississippi, Jani-King of Meridian, Jani-King of Columbus, and Jani-King of Texarkana.)|Y||||5/5/2020|1.  Only the unit franchise agreement is eligible.  2. This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S6418|Jani-King of Austin - Unit franchise agreement only|Y||||3/16/2021|1. Only the unit franchise agreement is eligible. 2. This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S5989|Jani-King of Cleveland - only Unit Franchise Agreement|Y||||9/28/2020|1. Only the unit franchise agreement is eligible.  2. This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S5484|Jani-King of Eugene/Salem - Unit Agreement only|Y||||5/18/2020|This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S6237|Jani-King of Grand Rapids|Y||||1/21/2021|This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S6328|Jani-King of Indianapolis|Y||||2/12/2021|1. Only the unit franchise agreement is eligible.  2. This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S6417|Jani-King of Miami - Unit franchise agreement only|Y||||3/16/2021|1. Only the unit franchise agreement is eligible. 2. This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S6415|Jani-King of Michigan - Unit franchise agreement only|Y||||3/16/2021|1. Only the unit franchise agreement is eligible. 2. This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S6416|Jani-King of Philadelphia - Unit franchise agreement only|Y||||3/16/2021|1. Only the unit franchise agreement is eligible. 2. This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S5483|Jani-King of Portland - Unit Agreement only|Y||||5/18/2020|This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S5496|Jani-King of San Antonio - Unit Franchise Agreement only|Y||||5/20/2020|1. Only the unit franchise agreement may be used. 2. This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
|Janome - Authorized Janome America Dealer Agreement|N|N|||9/14/2020|
S2202|Jardin|Y|Y|Y|N|10/1/2017|
S2203|Jason's Deli|Y|Y|Y|N|10/1/2017|
S5370|Jaspare's Pizza|Y||||5/1/2020|This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S3244|Jasper Oil Company (Valero) Diesel and/or Gasoline Sales Contract|Y|N|||6/26/2018|Distributor may not file anything against the SBA Real Estate Collateral
S0878|JAVA DETOUR|Y|Y|Y|N|10/1/2017|
S0879|JAVA ESPRESS/JUICE JUNGLE|Y|Y|Y|N|10/1/2017|
S5291|Jayco, Inc. – Dealership Sales and Service Agreement|Y|N|||4/22/2020|
S2486|Jazen Tea|Y|Y|Y|N|1/30/2018|1. When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Addendum to Lease may not be executed.  2. Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10. 
S5211|Jazzercise|Y|Y|Y|N|4/17/2020|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, a Conditional Assignment of Lease as described in the Franchise Agreement may not be executed.
S0880|JAZZMAN'S CAFE|Y|Y|Y|N|10/1/2017|
S2964|JC's Burger House/JC's Burger Bar|Y|Y|Y|N|4/16/2018|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Addendum to Lease may not be executed.
S4571|JDog Carpet Cleaning|Y|Y|Y|N|10/1/2019|
S2683|JDog Junk Removal & Hauling|Y|Y|Y|N|2/28/2018|
|JE Brown & Associates - Producer Agreement|N||||5/1/2018|
|Jeanneau Inboard Dealer Agreement|N|N|||7/13/2020|
|Jeanneau Outboard Dealer Agreement|N|N|||7/13/2020|
S2812|Jeep - Sales and Service Agreement|Y|N|||3/22/2018|Manufacturer may not record against the real estate that secures the SBA‐guaranteed loan any restrictions on the use of the property, including any restrictive covenants, branding covenants, Deeds, or environmental use restrictions. Lenders are advised that, if SBA discovers at any point during the life of the loan that any such restriction has been recorded against the collateral securing the loan, SBA may deny liability on the guaranty.
S3516|Jefferson's|Y|Y|Y|N|9/17/2018|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Collateral Assignment of Lease and the Consent and Agreement of Lessor may not be executed.
S3031|JEI Learning Center|Y|Y|Y|N|5/1/2018|
S3640|Jemelli|Y|Y|Y|N|11/6/2018|
S4425|Jenkins Oil Company, Inc (Shell) Supply Agreement|Y|Y|Y|N|7/23/2019|Distributor may not file anything against the SBA Real Estate Collateral
S6538|Jenkins Oil Company, Inc. (Chevron) Product Sales Agreement|Y|Y|Y|N|4/23/2021|Distributor may not file anything against the SBA Real Estate Collateral
S0899|Jenny Craig|Y|Y|Y|N|10/1/2017|
S4492|Jeremiah’s Italian Ice|Y|Y|Y|N|8/27/2019|
S0881|JERKQ'ZINE|Y|Y|Y|N|10/1/2017|
S0900|Jerry's Subs & Pizza|Y|Y|Y|N|10/1/2017|
S0901|Jersey Mike's|Y|Y|Y|N|10/1/2017|
S0903|Jet Black/Yellow Dawg Stripping/Black Dawg Sealcoat|Y|Y|Y|N|10/1/2017|
S4938|Jet City Pizza|Y|Y|Y|N|3/10/2020|
S0902|Jet's Pizza|Y|Y||Y|10/1/2017|
|JH Global Services Inc. - Dealership Agreement|N|N|||8/7/2018|
S4973|Jiffy Junk|Y|Y|Y|N|3/23/2020|Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10.
S0904|Jiffy Lube|Y|Y||Y|10/1/2017|
S5382|Jim's Razorback Pizza|Y|Y|Y|N|5/2/2020|
S2767|Jimano's Pizzeria|Y|Y|Y|N|3/22/2018|
S2204|Jimboy'sTacos|Y|Y|Y|N|10/1/2017|
S6221|Jimmy Hula's|Y|Y|Y|N|1/13/2021|SBA applicants operating under a Master Franchise Agreement are not eligible for SBA financing.
S0906|Jimmy John's|Y|Y|Y|N|10/1/2017|
S5377|Jimmy's Egg|Y||||5/2/2020|This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S4856|Jimmy's Pizza - Franchise Agreement|Y|Y|Y|N|2/11/2020|
S0907|Jinya Ramen Bar|Y|Y|Y|N|10/1/2017|
|JL Audio, Inc. - Authorized Home Audio Retailer Agreement|N|N|||9/10/2020|
S6560|JL Beers|Y|Y|Y|N|4/30/2021|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Addendum may not be executed.
S0882|JO TO GO|Y|Y|Y|N|10/1/2017|
S0883|JODY MARONI'S SAUSAGE KINGDOM|Y|Y|Y|N|10/1/2017|
S4438|Joe Canal's Discount Liquor Outlet - Trademark License Agreement|Y|Y|Y|N|7/30/2019|
S6563|Joe's Gourmet|Y|Y|Y|N|4/30/2021|
S6667|John C. Berry & Sons, Inc. (Exxon) Motor Fuel Supply Agreement: Exxon-Branded Motor Fuels|Y|Y|Y|N|6/17/2021|Distributor may not file anything against the SBA Real Estate Collateral
|John Deere Agricultural Dealer Agreement|N||||4/8/2020|
|John Deere Compact Construction Equipment Dealer Agreement|N||||4/7/2020| 
|John Deere Construction & Forestry Company - Authorized Hitachi Dealer Agreement|N||||4/8/2020|
|John Deere Construction & Forestry Company - Dealer Agreement|N||||4/8/2020|
|John Deere Golf and Turn Equipment Dealer Agreement|N||||4/7/2020|
|John Deere Power Systems Distributor Agreement|N||||4/7/2020| 
|John Deere Service Dealer Agreement|N||||4/7/2020|
|John Deere Turf & Utility Equipment Dealer Agreement|N|N|||3/22/2018|
S6019|John Goetze Physical Therapy|Y|Y|Y|N|10/8/2020|
S5320|John L. Scott Real Estate|Y|Y|Y|N|4/28/2020|
S4464|John's Texaco Service Inc. dba John's Fuel Service (Shell) Complete Contract of Sale (Branded)|Y|Y|Y|N|8/13/2019|Distributor may not file anything against the SBA Real Estate Collateral. This agreement also requires an SBA Form 2462 Addendum from Cary Oil  Franchise Identifier Code S3053
S3363|Johnnie's New York Pizzeria|Y|Y|Y|N|8/7/2018|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Sublease and Lease Addendum to Lease Agreement may not be executed. 
S5660|Johnny Carino's |Y|Y|Y|N|7/2/2020|
S0908|Johnny Rockets|Y|Y||Y|10/1/2017|
S6709|Johnny Tamale Cantina - License Agreement|Y|N|||7/15/2021|If Applicant also operates under a management agreement with a third party, Lender/CDC must review the management agreement in accordance with SOP 50 10 to determine if there is affiliation between the Applicant and the management company.  The Applicant is not eligible if the management company is, or is affiliated with, the Franchisor.
S2557|Johnny's Italian Steakhouse|Y|Y|Y|N|2/14/2018|
S0909|Johnny's New York Style Pizza/Johnny Brusco's New York Style Pizza|Y|Y|Y|N|10/1/2017|
S0910|Johnny's Pizza House|Y|Y||Y|10/1/2017|
S4785|Johnson Oil Co. (Shell) Retail Dealer Fuel Purchase Contract|Y|Y|Y|N|1/7/2020|Distributor may not file anything against the SBA Real Estate Collateral
S2856|Johnstone Supply, Inc. (Member Patronage Agreement)|Y|Y|Y|N|4/4/2018|
S2857|Johnstone Supply, Inc. (Non-Member Patronage Agreement)|Y|Y|Y|N|4/4/2018|
S3923|JoJo's Grill-A-Dog|Y|Y|Y|N|2/26/2019|
S6630|Jollibee|Y|Y|Y|N|5/26/2021|
S0911|Jon Smith Subs|Y|Y||Y|10/1/2017|
S0912|Jon'Ric International|Y|Y||Y|10/1/2017|If Applicant also operates under a management agreement with a third party, Lender/CDC must review the management agreement in accordance with SOP 50 10 to determine if there is affiliation between the Applicant and the management company. The Applicant is not eligible if the management company is, or is affiliated with, the franchisor.
|Jones New York - Term Sheet|N|N|||7/16/2019|
S3442|Jones Petroleum Company, Inc. - Petroleum Product Supply Agreement|Y|Y|Y|N|8/28/2018|Distributor may not file anything against the SBA Collateral Real Estate with the exception of a Mortgage/Deed of Trust or a UCC (Fixtures) Financing Statement (Purchase Money Security Interest) for money advanced by Distributor for  improvements, which, except for the UCC PMSI and fixture filing, must be subordinate to the SBA financing.
S4891|Jordan and Mamalakis Oil Distributors, Inc (BP) Branded Petroleum Supply Contract|Y|Y|Y|N|2/25/2020|Distributor may not file anything against the SBA Real Estate Collateral
S5144|Jos. A. Banks Clothiers|Y||||4/10/2020|This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S0913|Josie's Self Serve Frozen Yogurt|Y|Y||Y|10/1/2017|
S3895|Journey 333|Y|Y|Y|N|2/20/2019|
S3942|Journey Employer Solutions|Y|Y|Y|N|3/5/2019|
S3264|Journey School|Y|Y|Y|N|7/3/2018|When the real estate where the franchise business is located will secure the SBA‐guaranteed loan, the Collateral Assignment of Lease, Consent & Agreement of Lessor and Option to Lease Agreement & Right of First Refusal may not be executed.
S0884|JOY'S JOHNS|Y|Y|Y|N|10/1/2017|
S2847|Joyous Montessori|Y|Y|Y|N|4/4/2018|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Agreement with Landlord or Collateral Assignment of Lease documents may not be executed.
S5045|JP & Associates, REALTORS|Y|Y|Y|N|4/6/2020|
S0885|JUGO JUICE|Y|Y|Y|N|10/1/2017|
S0886|JUICE HEAVEN|Y|Y|Y|N|10/1/2017|
S0914|Juice It Up|Y|Y||Y|10/1/2017|
|Juice Press - Brand License Agreement|N|N|||2/11/2020|
S0915|Juice Zone|Y|Y|Y|N|10/1/2017|
S0916|JuiceBlendz|Y|Y|Y|N|10/1/2017|
S5285|Juicy Burgers|Y|Y|Y|N|4/22/2020|
S4434|Juicy-O's - License Agreement|Y|N|||7/30/2019|
S0887|JUMBURRITO|Y|Y|Y|N|10/1/2017|
S0888|JUMP ON IN|Y|Y|Y|N|10/1/2017|
S0917|Jump!Zone Party and Play Centers|Y|Y|Y|N|10/1/2017|
S0918|JumpBunch|Y|Y|Y|N|10/1/2017|
S3394|Jumpin' Jamboree|Y|Y|Y|N|8/14/2018|When the real estate where the franchise business is located will secure the SBA‐guaranteed loan, the Collateral Assignment of Lease may not be executed.
S6885|Junbi|Y|Y|Y|N|9/30/2021|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Agreement Rider and Collateral Assignment of Lease may not be executed.
S0889|JUNGA JUICE|Y|Y|Y|N|10/1/2017|
|Jungle Burger - Contrato de Compraventa del Concepto del Negocio “Jungle Burger”|N|N|||8/7/2018|
S5659|Jungle Java|Y|Y|Y|N|7/2/2020|The Area Franchise Agreement may not be used.  Any SBA Applicant operating under an Area Franchise Agreement is not eligible.
S0919|Junk King|Y|Y||Y|10/1/2017|
S5355|Junk Shot|Y|Y|Y|N|4/29/2020|
S6074|Junk Wiz|Y|Y|Y|N|11/3/2020|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Addendum & Collateral Assignment of Lease may  not be executed.
S6545|Just 4 Him Men's Haircuts|Y|Y|Y|N|4/28/2021|Lender/CDC must obtain an affidavit signed by the Applicant stating that the business is open to both men and women and document their file with evidence that the facility is open to both men and women, such as appropriate bath/locker rooms, or documented membership demographics. Contact franchise@sba.gov for a template of the affidavit.
S2205|Just Baked|Y|Y||Y|10/1/2017|
S0920|Just Between Friends|Y|Y||Y|10/1/2017|
S3079|Just Cut It|Y|Y|Y|N|5/8/2018|1. When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Addendum may not be executed. 2 Lender/CDC must obtain an affidavit signed by the Applicant that the business is open to both men and women and document their file with evidence that the facility is open to both men and women, such as appropriate bath/locker rooms, or documented membership demographics. Contact franchise@sba.gov for a template of the affidavit. 
S0890|JUST DOGS! GOURMET|Y|Y|Y|N|10/1/2017|
S5137|Just Drive|Y|Y|Y|N|4/10/2020|
S0921|Just Insurance Brokers|Y|Y|Y|N|10/1/2017|
S2747|Just Let Me Do It |Y|Y|Y|N|3/9/2018|
S2849|Just Love Coffee Cafe|Y|Y|Y|N|4/4/2018|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Addendum to Lease document may not be executed.
S6877|Just Pizza & Wing Co.|Y|Y|Y|N|9/23/2021|
S3762|Just Salad |Y|Y|Y|N|12/11/2018|
S3034|Just Toys Classic Cars|Y|Y|Y|N|5/1/2018|
S5443|Just-A-Buck|Y|Y|Y|N|5/14/2020|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Collateral Assignment of Lease may not be executed.
S0891|JW TUMBLES|Y|Y|Y|N|10/1/2017|
S0922|K & N Mobile Distribution Systems|Y|Y|Y|N|10/1/2017|
S0923|K-9 Resorts Daycare & Luxury Hotel|Y|Y|Y|N|10/1/2017|
S5801|K-BOB's Steakhouse|Y|Y|Y|N|7/31/2020|
S4896|K1 Speed|Y|Y|Y|N|2/25/2020|
S0924|KABLOOM|Y|Y|Y|N|10/1/2017|
S0936|Kahala Coffee Traders|Y|Y|Y|N|10/1/2017|
S5794|Kaia F.I.T.|Y|Y|Y|N|7/31/2020|1. Lender/CDC must obtain an affidavit signed by the Applicant that the business is open to both men and women and document their file with evidence that the facility is open to both men and women, such as appropriate bath/locker rooms, or documented membership demographics. Contact franchise@sba.gov for a template of the affidavit.  2. When the real estate where the franchise business is located will secure the SBA-guaranteed loan or SBA loan, the Lease Addendum may not be executed.
|Kaiser Foundation Health Plan, Inc. - Broker Commission Agreement|N|N|||11/26/2019|
S4370|Kajun Kreol Cafe|Y|Y|Y|N|7/8/2019|
S6004|Kajun Seafood & Wings|Y|Y|Y|N|10/1/2020|
|Kala Brand Music - Dealer Agreement|N|N|||4/6/2021|
S2366|Kale Me Crazy|Y|Y|Y|N|1/1/2018|Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10.B 
S6193|Kalologie 360 Spa|Y|Y|Y|N|12/29/2020|
S2672|Kampgrounds of America|Y|Y|Y|N|2/21/2018|
S0937|Kanga's Indoor Playcenter|Y|Y||Y|10/1/2017|
|Kangaroo - Premier Dealer Application|N|N|||9/8/2020|
S3657|Kangaroo Express|Y|Y|Y|N|11/6/2018|
S5758|KARS Petro Distributors, LLC (Marathon) Dealer Supply Agreement|Y|Y|Y|N|7/22/2020|Distributor may not file anything against the SBA Collateral Real Estate.
S0925|KART TRAX FORMULA RACING|Y|Y|Y|N|10/1/2017|
S5523|Karter School - Licensing Agreement|Y|Y|Y|N|5/28/2020|
S3637|Kawasaki - Dealer Term Sales and Service Agreement|Y|Y||Y|11/6/2018|
S6772|Kawasaki Motors Corp., USA - Kawasaki Authorized  Engines / Power Products Dealer Agreement|Y|Y|N|Y|8/19/2021|
S0926|KAZBOR'S GRILLE|Y|Y|Y|N|10/1/2017|
|KCMA Corporation - Authorized Retail Dealer Agreement (United States)|N|N|||11/23/2020|
S4559|KDENA de Ahorros (Reglamento KDENA de Ahorros)|Y|Y|Y|N|9/24/2019|
S0927|KEBA SPITFIRE GRILL|Y|Y|Y|N|10/1/2017|
S2032|Keegan's|Y|Y|Y|N|10/1/2017|
S2207|Keke's Breakfast Café|Y|Y||Y|5/1/2015|
S2855|Keller Williams Market Center License Agreement|Y|Y||Y|4/4/2018|
|Keller Williams Mega-Associate Office Addendum / Broker /Managing Broker (Branch) Agreement|N||||8/19/2020|In order to be eligible, the Mega Associate MUST also have entered into the Broker/Managing Broker (Branch) Agreement.  The applicant MUST operate under both agreements.
S2588|KellerStrass Enterprises (Chevron) Motor Fuel Supply Agreement|Y|Y|Y|N|2/14/2018|Distributor may not file anything against the SBA Real Estate Collateral
S2906|Kelley Fuels Inc  (Shell) Dealer Supply Contract|Y|Y||Y|4/10/2018|Distributor may not file anything against the SBA Real Estate Collateral
|Kemper Insurance Agency - Agency Agreement|N||||5/1/2018|
S3707|Kennedy's Barber Club|Y|Y|Y|N|11/20/2018|1. When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Assignment Agreement may not be executed.  2. Lender/CDC must obtain an affidavit signed by the Applicant that the business is open to both men and women and document their file with evidence that the facility is open to both men and women, such as appropriate bath/locker rooms, or documented membership demographics. Contact franchise@sba.gov for a template of the affidavit. 
